title,distance_to_motorway_m,distance_to_aroad_or_motorway_m,distance_to_broad_or_aroad_or_motorway_m,distance_to_public_road_m,distance_to_major_river_m,distance_to_secondary_river_m,distance_to_watercourse_m,distance_to_railway_m,distance_to_woodland_m,distance_to_offroad_cyclepath_m,distance_to_large_greenspace_m,distance_to_medium_greenspace_m,distance_to_small_greenspace_m
1037 11,1350,1350,1350,240,3066,176,20,78,50,121,124,124,124
1037 12,1162,1162,1162,282,3187,69,69,415,262,427,456,456,97
1038 1,1325,1325,1325,260,2974,268,40,30,40,92,46,46,46
1038 2,1458,1253,1253,130,3035,320,11,59,147,7,0,0,0
1038 3,1250,1123,1123,51,2614,612,0,71,426,22,0,0,0
1038 4,1438,1172,1172,101,2930,429,28,119,220,45,0,0,0
1038 5,1091,1091,1091,141,2730,332,7,152,272,132,211,211,211
1038 6,1249,1249,1249,238,2815,390,20,9,185,85,59,59,59
1038 7,1156,1156,1156,227,2821,288,50,124,181,202,158,158,158
1038 8,1308,1181,1181,131,2763,510,50,62,284,0,0,0,0
1038 9,1392,956,956,42,2608,757,95,242,528,60,66,66,66
1038 10,1381,1263,1263,186,2951,347,0,31,130,9,0,0,0
1038 11,1369,1031,1031,57,2675,674,51,182,443,0,0,0,0
1038 12,1488,1084,1084,22,2902,515,16,204,310,113,0,0,0
1039 1,1497,497,497,17,2664,1004,582,507,886,177,535,535,387
1039 2,1228,544,544,78,2305,1183,524,541,820,26,500,500,500
1039 3,1496,640,640,48,2592,945,424,581,771,139,371,371,321
1039 4,1338,528,528,10,2448,1102,525,529,910,0,491,491,479
1039 5,1612,774,774,16,2683,812,293,465,631,101,245,245,204
1039 6,1473,822,822,14,2562,863,231,376,636,187,198,198,198
1039 7,1694,808,808,21,2794,722,289,471,582,0,248,248,97
1039 8,1581,864,864,15,2725,740,205,382,541,64,162,162,162
1039 9,1428,565,565,11,2543,1022,501,568,852,67,447,447,395
1039 10,1288,539,539,37,2379,1141,514,540,880,21,486,486,486
1039 11,1445,903,903,55,2602,793,152,300,563,108,118,118,118
1039 12,1371,916,916,0,2530,817,144,268,600,121,127,127,127
1040 1,1145,200,200,34,2389,1363,470,200,1002,304,815,815,738
1040 2,1046,329,329,34,2181,1390,513,325,955,126,721,721,721
1040 3,1032,167,167,13,2259,1451,552,166,1103,318,858,858,823
1040 4,1359,306,306,17,2601,1184,460,316,902,280,718,718,576
1040 5,1197,385,385,29,2342,1254,656,386,1001,104,638,638,628
1040 6,1015,232,232,30,2196,1442,581,228,1062,232,807,807,807
1040 7,944,142,142,25,2161,1523,556,139,1131,316,897,897,779
1040 8,900,21,21,19,2245,1629,362,26,1014,480,1071,1071,637
1040 9,1302,399,399,20,2472,1175,605,398,1021,118,617,617,546
1040 10,973,75,75,29,2245,1528,486,74,1066,406,949,949,748
1040 11,1096,411,411,11,2201,1328,496,407,883,45,644,644,644
1040 12,1033,36,36,16,2449,1571,239,45,805,590,1086,1086,721
1041 1,759,211,211,84,2216,1807,171,217,1000,362,1261,1261,460
1041 2,722,147,147,52,2101,1797,245,150,1125,302,1206,1206,480
1041 3,475,24,24,24,2035,2035,25,230,844,149,1506,1506,182
1041 4,616,92,92,41,2047,1911,141,255,1034,199,1316,1316,366
1041 5,565,24,24,24,2077,1991,34,325,927,193,1417,1417,276
1041 6,843,192,192,0,2320,1755,199,201,897,463,1239,1239,528
1041 7,565,15,15,7,2210,2070,88,267,797,330,1543,1543,227
1041 8,671,136,136,98,2194,1913,62,326,968,314,1371,1371,359
1041 9,798,262,262,28,2333,1827,123,284,879,457,1322,1322,472
1041 10,695,94,94,29,2015,1795,298,97,1195,297,1169,1169,503
1041 11,795,58,58,21,2125,1712,333,61,1123,380,1116,1116,568
1041 12,427,75,75,54,1956,1956,16,204,863,69,1508,1508,169
1046 1,425,235,235,24,1738,1738,404,584,464,352,830,830,467
1046 2,93,93,93,25,1414,1414,507,64,707,423,317,317,317
1046 3,178,178,178,27,1444,1444,537,162,659,399,401,401,401
1046 4,544,544,544,21,1376,1376,449,432,806,656,654,654,644
1046 5,221,140,140,27,1809,1809,303,460,303,155,782,782,264
1046 6,352,352,352,20,1499,1499,563,348,615,438,570,570,537
1046 7,356,306,306,24,1650,1650,480,449,480,331,697,697,432
1046 8,236,236,236,25,1560,1560,538,283,539,322,539,539,436
1046 9,318,149,149,25,1811,1811,350,554,352,243,841,841,358
1046 10,36,36,36,25,1684,1684,437,182,447,152,561,561,300
1046 11,441,441,441,23,1404,1404,466,366,733,566,580,580,580
1046 12,237,217,217,22,1729,1729,373,393,374,205,698,698,300
1047 1,190,190,190,123,993,993,117,86,324,675,224,224,91
1047 2,456,456,456,91,871,871,4,44,349,617,492,492,176
1047 3,157,157,157,99,1075,1075,180,63,402,743,187,187,156
1047 4,451,451,451,84,951,951,13,94,410,685,484,484,242
1047 5,531,531,531,20,1223,1223,299,329,686,758,587,587,520
1047 6,306,306,306,122,881,881,94,51,256,614,341,341,100
1047 7,378,378,378,20,1320,1320,383,265,714,588,482,482,482
1047 8,345,345,345,25,1059,1059,140,72,448,798,374,374,262
1047 9,192,192,192,192,879,879,20,165,203,555,224,224,0
1047 10,113,113,113,19,1177,1177,268,38,502,662,155,155,155
1047 11,479,479,479,31,1317,1317,382,346,749,654,571,571,561
1047 12,272,272,272,66,963,963,153,28,321,682,306,306,129
1048 1,420,420,420,357,385,385,128,267,151,201,584,460,56
1048 2,265,265,265,265,714,714,8,213,63,417,314,314,9
1048 3,438,438,438,287,460,460,42,242,98,286,554,549,0
1048 4,575,575,575,213,385,385,0,119,241,251,697,504,0
1048 5,506,506,506,168,581,581,38,91,173,394,565,565,7
1048 6,658,658,658,69,724,724,161,90,378,384,691,691,124
1048 7,344,344,344,222,741,741,0,115,160,493,380,380,0
1048 8,490,490,490,122,701,701,110,16,235,474,526,526,112
1048 9,646,646,646,32,639,639,82,20,326,322,688,688,59
1048 10,668,668,668,96,462,462,92,43,316,198,754,586,46
1048 11,209,209,209,209,619,619,0,333,23,296,313,313,113
1048 12,486,486,486,54,813,813,44,30,329,555,519,519,159
1049 1,323,323,323,323,343,343,176,356,229,67,579,349,188
1049 2,723,723,723,262,88,88,19,11,126,0,998,210,0
1049 3,622,622,622,278,281,281,31,59,233,160,787,404,0
1049 4,431,431,431,431,129,129,29,262,154,78,840,133,10
1049 5,518,518,518,457,110,110,61,167,61,0,830,211,65
1049 6,514,514,514,363,32,32,32,191,137,191,995,40,40
1049 7,341,341,341,341,182,182,63,344,208,40,717,188,26
1049 8,799,799,799,250,234,234,58,93,244,7,992,359,36
1049 9,429,429,429,429,234,234,78,253,185,51,704,293,97
1049 10,650,650,650,300,36,36,36,52,74,145,1058,45,45
1049 11,566,566,566,383,19,19,19,129,75,78,951,81,81
1049 12,726,726,726,311,166,166,0,18,164,43,945,295,0
1050 1,754,754,754,198,62,62,62,18,84,55,1196,150,93
1050 2,881,881,881,79,10,10,10,150,216,0,1247,269,140
1050 3,565,565,565,83,177,177,106,143,167,212,1254,103,12
1050 4,847,847,847,33,131,131,131,115,185,0,1462,357,137
1050 5,669,669,669,93,173,173,90,42,90,113,1309,185,69
1050 6,561,561,561,306,8,8,8,148,83,223,1062,0,0
1050 7,999,999,821,162,39,39,39,265,161,109,1572,329,45
1050 8,920,920,885,69,34,34,34,181,102,78,1359,327,43
1050 9,806,806,806,10,231,231,195,98,253,72,1514,385,236
1050 10,750,750,750,108,83,83,53,9,53,22,1328,223,41
1050 11,562,562,562,173,94,94,54,154,139,205,1174,51,0
1050 12,626,626,626,229,106,106,31,88,60,152,1160,53,0
1051 1,905,905,905,23,298,298,183,269,200,63,1729,431,324
1051 2,717,717,717,11,409,409,179,299,179,278,1893,651,144
1051 3,1092,1092,724,207,118,118,65,438,83,91,1837,245,245
1051 4,1052,1052,770,176,195,195,96,366,172,77,1746,291,221
1051 5,974,974,845,96,242,242,111,303,186,0,1717,365,248
1051 6,929,929,864,31,269,269,11,445,11,66,1967,454,138
1051 7,817,817,817,8,374,374,207,242,209,167,1761,522,303
1051 8,1008,1008,797,96,185,185,51,430,69,0,1896,344,242
1051 9,1071,1071,716,169,133,133,20,544,21,58,2010,315,175
1051 10,1005,1005,819,164,117,117,0,291,242,74,1637,364,123
1051 11,905,905,901,26,286,286,116,340,124,88,1839,442,267
1051 12,900,900,900,61,189,189,107,197,301,10,1596,459,196
1052 1,717,717,717,88,252,252,65,588,85,165,1685,420,33
1052 2,722,722,722,216,30,30,30,731,258,18,1766,232,0
1052 3,786,786,786,99,172,172,55,585,101,110,1782,385,28
1052 4,616,616,616,97,120,120,13,759,191,4,1647,249,0
1052 5,853,853,798,126,66,66,9,634,187,0,1893,328,10
1052 6,484,484,484,48,115,115,85,857,95,1,1520,250,0
1052 7,531,531,531,169,31,31,31,905,129,92,1592,130,0
1052 8,578,578,578,257,33,33,33,937,204,178,1654,40,11
1052 9,654,654,654,245,18,18,18,845,253,121,1718,118,1
1052 10,781,781,781,4,275,275,30,452,31,201,1859,514,0
1052 11,935,935,670,202,72,72,49,675,171,113,1994,340,99
1052 12,768,768,667,315,29,29,29,822,218,168,1840,160,42
43 1,219,219,219,103,3482,3482,32,1896,201,420,273,0,0
43 2,500,192,192,124,3382,3382,125,1740,601,98,126,126,16
43 3,536,143,143,107,3311,3311,157,1835,577,176,190,190,8
43 4,275,224,224,51,3405,3405,20,1977,213,378,337,63,63
43 5,98,98,98,98,3714,3714,8,1622,259,274,51,51,0
43 6,408,213,213,31,3350,3350,82,1942,392,352,245,161,78
43 7,397,301,301,57,3516,3516,115,1614,476,23,31,31,0
43 8,162,162,162,162,3627,3627,53,1712,280,312,82,82,0
43 9,37,37,37,37,3726,3726,44,1644,160,375,152,152,76
43 10,198,198,198,131,3548,3548,94,1810,231,389,177,24,24
43 11,499,106,106,33,3243,3243,189,1915,423,380,327,250,0
43 12,274,274,274,172,3593,3593,29,1649,403,137,0,0,0
44 1,625,64,64,25,3047,3047,137,1712,492,467,521,425,70
44 2,437,68,68,33,3217,3217,207,1848,295,397,459,251,102
44 3,685,35,35,35,3084,3084,268,1782,582,318,434,434,115
44 4,597,11,11,11,3151,3151,273,1834,497,365,390,349,27
44 5,728,130,130,70,2980,2980,154,1666,596,398,551,507,154
44 6,378,24,24,18,3151,3151,79,1753,280,319,594,314,192
44 7,622,209,209,38,2912,2912,12,1553,536,553,695,556,231
44 8,773,349,349,20,2761,2761,5,1436,597,509,782,711,356
44 9,495,258,22,16,2929,2929,12,1513,385,394,805,542,343
44 10,390,349,48,48,2895,2895,59,1450,285,281,847,600,300
44 11,407,189,17,17,3027,3027,5,1602,388,346,754,447,314
44 12,306,60,60,7,3170,3170,35,1748,246,245,644,302,274
1068 1,648,648,648,407,2905,41,1,763,67,642,785,785,0
1068 2,362,362,362,362,2780,62,43,994,194,446,1025,1025,157
1068 3,420,420,420,249,3033,30,30,1096,183,607,1114,1114,227
1068 4,561,561,561,116,3138,73,73,1034,113,754,971,971,103
1068 5,318,318,318,271,2604,206,102,860,289,381,959,959,229
1068 6,554,554,554,332,2933,84,84,884,138,655,905,905,75
1068 7,424,424,424,382,2874,25,25,983,190,530,1009,1009,145
1068 8,484,484,484,260,2995,18,18,1002,182,629,1020,1020,154
1068 9,523,523,523,399,2815,158,36,842,155,597,871,871,2
1068 10,543,543,543,323,2749,200,13,783,139,603,818,818,8
1068 11,237,237,237,237,2720,68,28,1012,160,321,1110,1110,277
1068 12,149,149,149,149,2884,89,5,1213,69,366,1303,1303,429
45 1,315,315,64,39,2784,2784,74,1325,157,198,920,727,172
45 2,409,409,41,18,2629,2629,33,1212,242,201,1065,845,219
45 3,522,443,149,10,2700,2700,103,1311,342,314,947,766,337
45 4,632,485,306,6,2632,2632,0,1292,508,392,931,837,438
45 5,282,282,93,21,2302,2302,106,928,489,151,918,918,348
45 6,255,255,94,94,2696,2696,71,1227,71,99,990,826,82
45 7,258,258,79,17,2570,2570,60,1113,135,72,982,937,75
45 8,493,493,125,15,2570,2570,0,1184,347,213,1062,895,310
45 9,144,144,144,18,2553,2553,103,1063,109,34,913,913,30
45 10,427,427,143,17,2445,2445,0,1073,422,197,1037,1020,365
45 11,342,342,4,4,2694,2694,12,1250,159,163,1020,799,164
45 12,196,196,143,37,2631,2631,43,1151,43,19,1003,905,15
1069 1,471,471,471,9,2353,541,109,528,482,513,707,707,408
1069 2,641,641,641,159,2598,284,102,584,245,395,613,613,189
1069 3,617,617,617,32,2454,427,128,493,394,369,575,575,336
1069 4,350,350,350,160,2489,322,79,726,326,439,872,872,286
1069 5,850,850,850,19,2565,388,41,335,422,145,363,363,363
1069 6,424,424,424,214,2599,286,14,795,297,491,846,846,169
1069 7,792,792,792,243,2736,161,33,500,198,342,540,540,176
1069 8,540,540,540,208,2641,292,11,720,206,529,748,748,118
1069 9,633,633,633,352,2789,155,36,708,57,547,739,739,0
1069 10,593,593,593,30,2269,614,48,356,453,421,580,580,526
1069 11,892,892,892,160,2723,246,53,380,311,233,427,427,295
1069 12,534,534,534,69,2506,392,12,614,330,469,682,682,259
1070 1,1108,1108,1108,59,2542,564,39,25,453,23,64,64,64
1070 2,838,800,800,29,2126,886,0,8,164,199,455,455,455
1070 3,1060,957,957,16,2310,809,77,82,377,0,256,256,256
1070 4,705,705,705,23,2188,732,88,178,287,340,498,498,498
1070 5,1048,1048,1048,22,2611,440,13,138,384,12,164,164,164
1070 6,980,980,980,91,2630,378,0,228,390,53,255,255,255
1070 7,1072,891,891,20,2257,893,153,160,354,5,309,309,309
1070 8,913,864,864,24,2196,852,12,23,240,130,378,378,378
1070 9,989,989,989,16,2533,494,33,158,464,37,192,192,192
1070 10,695,695,695,0,2321,582,12,306,440,323,478,478,478
1070 11,1015,1015,1015,9,2384,684,24,16,423,55,201,201,201
1070 12,933,933,933,10,2439,575,42,153,482,132,239,239,239
1071 1,1058,786,786,21,2169,1018,246,266,339,15,414,414,414
1071 2,927,671,671,20,2035,1217,140,474,468,0,574,574,574
1071 3,920,580,580,19,2000,1300,217,580,582,0,638,638,638
1071 4,1103,523,523,23,2165,1260,423,520,741,58,570,570,570
1071 5,780,528,528,72,1880,1366,104,510,522,48,729,729,729
1071 6,834,575,575,33,1952,1274,45,478,431,66,652,652,652
1071 7,1233,903,903,20,2365,904,251,259,510,146,242,242,242
1071 8,909,625,625,19,2008,1150,119,318,277,112,573,573,573
1071 9,999,497,497,23,2051,1328,306,495,701,2,646,646,646
1071 10,1043,721,721,14,2146,1135,250,441,508,77,474,474,474
1071 11,1013,747,747,11,2135,1097,191,356,395,0,468,468,468
1071 12,1146,738,738,14,2244,1071,351,421,567,165,396,396,396
1072 1,719,98,98,17,1890,1707,409,95,1065,340,1016,1016,681
1072 2,736,484,484,46,1812,1459,87,465,617,36,812,812,812
1072 3,583,111,111,30,1703,1703,296,114,1009,152,1090,1090,614
1072 4,991,476,476,26,2049,1344,309,474,723,0,661,661,661
1072 5,776,279,279,16,1865,1571,224,278,865,184,889,889,811
1072 6,617,266,266,65,1679,1676,134,277,852,15,1012,1012,671
1072 7,877,270,270,19,1993,1524,353,269,919,167,834,834,834
1072 8,655,186,186,68,1756,1688,235,189,937,147,1009,1009,689
1072 9,889,212,212,18,2044,1548,444,209,1003,222,864,864,809
1072 10,483,32,32,0,1621,1621,349,47,1087,122,1193,1193,513
1072 11,697,426,426,40,1749,1539,6,398,691,29,888,888,807
1072 12,1031,446,446,28,2106,1342,381,443,788,0,653,653,653
1073 1,411,56,56,25,1821,1821,83,247,999,61,1434,1434,238
1073 2,334,50,50,26,1562,1562,157,129,1265,231,1374,1374,364
1073 3,317,95,95,19,1608,1608,83,218,1160,294,1427,1427,360
1073 4,240,127,127,26,1454,1454,104,161,1291,188,1449,1449,270
1073 5,290,182,117,29,1763,1763,11,121,908,103,1559,1559,124
1073 6,93,93,93,11,1455,1455,92,48,1084,287,1645,1619,175
1073 7,338,19,19,19,1508,1508,214,51,1207,125,1340,1340,368
1073 8,130,130,130,56,1429,1429,22,122,1170,212,1583,1575,166
1073 9,203,203,203,18,1563,1563,25,124,1065,297,1558,1558,285
1073 10,530,53,53,25,1853,1853,227,177,1138,194,1286,1286,388
1073 11,366,79,79,21,1727,1727,74,241,1060,158,1433,1433,276
1073 12,498,44,44,22,1774,1774,228,135,1200,258,1275,1275,427
1083 1,153,153,153,0,554,554,93,211,156,51,1532,620,119
1083 2,279,279,279,21,445,445,189,186,189,174,1486,482,243
1083 3,395,395,395,19,653,653,342,181,342,221,1799,841,323
1083 4,224,224,224,16,823,823,287,64,288,194,1792,878,185
1083 5,429,429,429,23,683,683,376,72,397,279,1770,673,372
1083 6,89,89,89,66,513,513,39,305,182,106,1450,556,57
1083 7,429,429,429,19,546,546,318,15,318,262,1626,524,393
1083 8,268,268,268,21,550,550,203,118,246,103,1581,580,233
1083 9,363,363,363,17,408,408,172,154,172,259,1482,414,256
1083 10,582,582,582,36,524,524,368,18,368,372,1611,466,343
1083 11,498,498,498,15,589,589,303,172,303,355,1858,737,275
1083 12,294,294,294,30,663,663,237,11,259,142,1701,677,256
1084 1,387,387,387,20,645,645,269,246,269,148,1707,796,250
1084 2,254,254,254,13,784,784,143,261,200,0,1554,675,143
1084 3,624,624,624,11,415,415,129,374,129,352,1783,624,100
1084 4,475,475,475,23,438,438,150,653,150,303,1372,380,144
1084 5,247,247,247,8,784,784,197,199,275,34,1635,754,201
1084 6,561,561,561,17,467,467,10,546,10,324,1509,499,4
1084 7,339,339,339,30,634,634,174,509,209,224,1353,501,206
1084 8,353,353,353,14,697,697,184,380,202,104,1483,617,184
1084 9,652,652,652,24,388,388,14,538,60,288,1596,534,0
1084 10,182,182,182,45,790,790,0,461,96,250,1266,387,84
1084 11,476,476,476,19,558,558,235,294,235,230,1732,747,212
1084 12,460,460,460,7,587,587,113,439,113,196,1514,595,97
74 1,353,353,353,94,3283,3283,255,1196,255,348,11,11,11
74 2,106,106,106,0,3191,3191,55,1117,55,279,0,0,0
74 3,283,283,283,176,3136,3136,105,1053,105,329,43,43,43
74 4,318,306,306,200,3106,3106,139,1014,139,284,137,137,119
74 5,553,271,271,30,3324,3324,93,1216,377,448,186,186,186
74 6,533,205,205,24,3432,3432,101,1333,439,323,155,155,155
74 7,242,242,242,58,3265,3265,182,1187,182,288,0,0,0
74 8,710,119,119,21,3432,3432,0,1337,555,417,329,329,329
74 9,447,342,342,28,3197,3197,102,1084,330,312,267,267,267
74 10,316,316,316,21,3540,3540,238,1463,373,56,99,99,53
74 11,274,274,274,28,3360,3360,259,1282,259,216,0,0,0
74 12,437,372,372,99,3256,3256,209,1161,265,420,107,107,107
75 1,941,215,215,7,3013,3013,0,1811,600,28,560,560,114
75 2,399,302,302,15,3533,3533,156,1575,466,0,63,63,0
75 3,509,187,187,60,3401,3401,163,1685,592,34,128,128,60
75 4,887,156,156,29,3100,3100,1,1754,648,97,512,512,208
75 5,897,155,155,20,3145,3145,9,1652,648,216,553,553,292
75 6,577,114,114,114,3308,3308,198,1778,653,94,204,204,74
75 7,757,31,31,13,3178,3178,114,1778,782,0,376,376,266
75 8,591,113,113,26,3386,3386,255,1594,639,81,246,246,148
75 9,850,82,82,25,3217,3217,0,1572,709,266,496,496,373
75 10,692,10,10,10,3122,3122,259,1842,634,230,380,380,141
75 11,688,71,71,38,3420,3420,43,1394,571,345,311,311,311
75 12,629,80,80,26,3394,3394,205,1524,625,177,313,313,234
76 1,855,270,270,72,2846,2846,124,1551,737,358,667,655,303
76 2,880,199,199,190,2942,2942,85,1687,719,192,560,560,230
76 3,768,432,432,102,2692,2692,60,1425,643,322,810,810,287
76 4,1006,442,442,90,2790,2790,159,1611,393,21,787,787,4
76 5,765,106,106,106,3018,3018,209,1732,658,279,488,488,195
76 6,956,410,410,159,2782,2782,68,1579,466,46,758,758,43
76 7,839,128,128,67,3039,3039,100,1800,723,96,477,477,208
76 8,687,452,450,34,2657,2657,0,1351,650,472,865,822,338
76 9,818,440,440,205,2702,2702,0,1463,572,220,801,801,215
76 10,688,505,505,109,2615,2615,29,1344,608,363,889,889,227
76 11,747,574,574,220,2584,2584,88,1370,441,170,930,930,159
76 12,738,637,580,244,2539,2539,158,1343,362,114,990,990,105
77 1,196,196,129,26,2208,2208,214,854,516,171,901,901,299
77 2,478,478,444,23,2427,2427,64,1137,596,488,1087,1055,205
77 3,559,559,444,63,2403,2403,14,1179,376,266,1101,1101,0
77 4,200,200,186,26,2181,2181,242,864,638,302,995,995,381
77 5,506,506,373,23,2484,2484,0,1170,618,426,1046,988,299
77 6,403,403,264,23,2223,2223,74,1005,339,310,1280,1280,95
77 7,590,590,512,50,2475,2475,4,1229,470,319,1026,1026,73
77 8,646,646,502,157,2461,2461,109,1255,342,180,1055,1055,60
77 9,398,398,370,25,2342,2342,142,1054,575,460,1172,1139,217
77 10,288,288,205,22,2290,2290,167,950,584,248,999,999,401
77 11,298,298,282,15,2264,2264,204,960,639,367,1089,1089,316
77 12,592,555,444,73,2555,2555,33,1256,666,486,963,925,268
78 1,104,104,104,55,1875,1875,14,481,389,3,587,587,92
78 2,20,20,20,11,1924,1924,0,648,646,380,995,995,435
78 3,83,83,16,16,1865,1865,48,539,589,186,796,796,265
78 4,239,239,89,17,1739,1739,95,373,522,28,626,626,242
78 5,171,171,101,25,2185,2185,224,826,489,150,870,870,267
78 6,2,2,2,2,1976,1976,63,598,403,71,684,684,81
78 7,165,165,41,5,1801,1801,94,455,548,125,709,709,235
78 8,123,123,123,20,1710,1710,158,433,788,323,919,919,468
78 9,32,32,18,18,2030,2030,90,697,551,238,853,853,246
78 10,137,137,17,17,1984,1984,57,738,518,461,1120,1120,335
78 11,218,218,106,24,1662,1662,250,362,730,243,830,830,428
78 12,97,97,80,7,2061,2061,123,755,651,342,958,958,352
1102 1,361,277,277,218,1566,1302,148,284,386,428,430,430,430
1102 2,535,489,489,43,1790,1133,5,118,173,344,602,602,602
1102 3,343,343,343,235,1808,976,32,10,369,502,410,410,410
1102 4,478,478,478,126,2038,828,125,194,346,564,607,607,607
1102 5,229,229,229,229,1815,902,41,80,281,375,327,327,327
1102 6,406,406,406,200,1938,877,33,122,353,543,508,508,508
1102 7,345,345,345,226,1659,1160,49,145,359,509,413,413,413
1102 8,591,591,591,18,2010,893,33,86,199,449,655,655,655
1102 9,434,426,426,143,1709,1173,105,145,274,423,502,502,502
1102 10,298,298,298,265,1683,1092,1,83,367,519,361,361,361
1102 11,587,587,587,36,2195,691,17,288,384,460,596,596,596
1102 12,441,441,441,142,1862,989,21,15,276,519,507,507,507
79 1,428,428,336,15,1309,1309,209,94,298,72,493,484,210
79 2,265,265,127,10,1714,1714,88,330,498,9,566,566,240
79 3,281,281,182,84,1630,1630,133,226,400,122,492,492,171
79 4,271,271,271,24,1527,1527,92,94,271,106,414,414,127
79 5,339,339,339,61,1334,1334,123,99,210,75,405,394,125
79 6,588,421,275,63,1223,1223,348,129,459,112,654,644,370
79 7,337,337,337,93,1404,1404,112,20,211,0,403,398,120
79 8,341,341,30,22,1586,1586,277,261,613,187,732,732,410
79 9,571,473,87,26,1287,1287,258,8,597,0,786,784,506
79 10,517,517,171,60,1338,1338,323,8,446,0,636,633,355
79 11,400,400,224,18,1412,1412,202,8,335,28,516,516,242
79 12,423,423,42,17,1367,1367,219,86,717,95,888,888,595
1103 1,708,454,454,144,1819,1406,44,435,506,126,786,786,786
1103 2,492,308,308,97,1630,1325,61,315,307,291,558,558,558
1103 3,497,156,156,87,1528,1528,139,143,487,122,600,600,600
